"","OTU","Sample","Abundance","X.Sample","MeatType","Packaging","SampleOrder","combine","Domain","Phylum","Class","Order","Family","Genus"
"1","Otu0001","BRRG10",84.41628307,"BRRG10","Breast","Regular aerobic",20,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2","Otu0001","BRRG5",79.41495687,"BRRG5","Breast","Regular aerobic",15,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"3","Otu0001","BRRG8",71.3825685,"BRRG8","Breast","Regular aerobic",18,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"4","Otu0001","BRRG9",70.04500871,"BRRG9","Breast","Regular aerobic",19,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"5","Otu0001","BRRG3",68.20784575,"BRRG3","Breast","Regular aerobic",13,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"6","Otu0001","WHRG10",61.70751093,"WHRG10","Whole chicken","Regular aerobic",30,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"7","Otu0001","BRRG7",61.34644058,"BRRG7","Breast","Regular aerobic",17,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"8","Otu0001","WHRG9",61.22450005,"WHRG9","Whole chicken","Regular aerobic",29,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"9","Otu0001","WHRG5",57.38240824,"WHRG5","Whole chicken","Regular aerobic",25,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"10","Otu0001","BRRG1",57.09468403,"BRRG1","Breast","Regular aerobic",11,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"11","Otu0001","BRMA3",53.83800336,"BRMA3","Breast","Modified atmosphere",33,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"12","Otu0001","BRMA1",53.43500902,"BRMA1","Breast","Modified atmosphere",31,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"13","Otu0002","BRVA1",51.70417651,"BRVA1","Breast","Vacuum",1,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"14","Otu0001","BRRG2",50.33828977,"BRRG2","Breast","Regular aerobic",12,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
