"","Sample","Freq","Diff"
"1","BRMA1",68.765736869,31.234263131
"2","BRMA10",20.851042216,79.148957784
"3","BRMA2",82.857875969,17.142124031
"4","BRMA3",74.945687774,25.054312226
"5","BRMA4",73.671880061,26.328119939
"6","BRMA5",50.147929482,49.852070518
"7","BRMA6",60.758097003,39.241902997
"8","BRMA7",41.538235205,58.461764795
"9","BRMA8",35.658031459,64.341968541
"10","BRMA9",27.177152782,72.822847218
"11","BRRG1",77.955633767,22.044366233
"12","BRRG10",89.5482042,10.4517958
"13","BRRG2",66.207002,33.792998
"14","BRRG3",82.355824128,17.644175872
"15","BRRG4",76.078999514,23.921000486
"16","BRRG5",88.765474149,11.234525851
"17","BRRG6",82.567786345,17.432213655
"18","BRRG7",68.459115179,31.540884821
"19","BRRG8",82.008330281,17.991669719
"20","BRRG9",83.796861975,16.203138025
"21","BRVA1",86.474504189,13.525495811
"22","BRVA10",62.352031675,37.647968325
"23","BRVA2",69.156567618,30.843432382
"24","BRVA3",39.942064954,60.057935046
"25","BRVA4",41.041909135,58.958090865
"26","BRVA5",63.182106497,36.817893503
"27","BRVA6",80.94334687,19.05665313
"28","BRVA7",57.724997087,42.275002913
"29","BRVA8",17.998920609,82.001079391
"30","BRVA9",85.36904022,14.63095978
"31","WHRG1",50.046084983,49.953915017
"32","WHRG10",68.363418881,31.636581119
"33","WHRG2",50.242027202,49.757972798
"34","WHRG3",21.880441663,78.119558337
"35","WHRG4",46.257331908,53.742668092
"36","WHRG5",69.773295912,30.226704088
"37","WHRG6",38.969333096,61.030666904
"38","WHRG7",54.243322572,45.756677428
"39","WHRG8",34.625528134,65.374471866
"40","WHRG9",66.388826848,33.611173152
